"サブニッチ候補","想定ニーズ・検索意図","キーワード案(3〜5個)","商品供給(FANZAでの厚み)","競合の強さ","差別化の切り口","需要点","競合の弱さ点","供給点","差別化点","優先度スコア合計","メモ"
"耳かき特化(睡眠導入・癒し)","寝る前に聴ける癒し・安眠用。リラックスと睡眠導入が主目的で長時間・ループ需要","耳かき ASMR おすすめ / 耳かき 音声 睡眠 / バイノーラル 耳かき / 耳かき ボイス 安眠","非常に厚い(定番タグで作品数最多級・推定)","強い(大手サークル+既存レビューサイト多数)","音質/機材別・シチュ別の細分化レビュー、全年齢ASMRからの導線","5","2","5","2","14","定番中の定番で需要大だが飽和。新規個人は埋もれやすい。長時間・睡眠軸の切り口必須。要検証"
"耳舐め/バイノーラル特化","立体音響の没入感を求める層。マイク(KU100/3Dio)による音質差が購買動機","耳舐め ASMR / バイノーラル 耳舐め / 立体音響 耳元 / 耳元 囁き 音声","非常に厚い(人気タグ・推定)","強い(専門レビュー・X発信者が多数)","録音機材・定位の良し悪しで比較、ヘッドホン推奨環境とセット訴求","5","2","5","2","14","需要大だが競合濃い。機材オタク軸で差別化しないと厳しい。要検証"
"オナサポ(音声指示・誘導系)","能動的な音声体験を求める層。テンポ・声質・指示の作り込みで満足度が分かれる","オナサポ 音声 おすすめ / 音声 指示 / カウントダウン ボイス / 寸止め 音声","中〜厚い(安定ジャンル・推定)","中(専門発信は一定数いるが手薄な領域も)","声優タイプ別・テンポ別の系統整理、初心者向けの入口記事","4","3","3","3","13","検索意図が明確でCV取りやすい想定。網羅的まとめ記事が少ない印象。要検証"
"寝取られ(NTR)ドラマ音声","ストーリー性・心理描写を重視。鬱/復讐/純愛NTR等サブ分岐で嗜好が割れる","NTR 音声 おすすめ / 寝取られ ボイス / 鬱 NTR 音声 / 純愛 NTR ドラマ","厚い(人気ストーリー系・推定)","中〜強(語る層は多いが体系的まとめは手薄)","鬱度/結末タイプでの分類レビュー、地雷回避ガイドという切り口","4","3","4","4","15","感情移入軸でファンが濃く回遊しやすい。分類軸の独自性が鍵。要検証"
"催眠音声(暗示・ループ系)","暗示・没入の作り込みを重視するコア層。効きやすさ/世界観が評価軸","催眠 音声 おすすめ / 催眠 ASMR / 暗示 ボイス / 催眠 入りやすい 作品","中(コア人気・推定)","中(濃いファン+一部専門サイト)","効果の入りやすさ・タイプ別の体系化、初心者導入ガイド","4","4","3","4","15","コミュニティが濃く固定読者化しやすい。専門まとめサイトが少なく狙い目。要検証"
"メスガキ/わからせ系","近年トレンドの属性。挑発→展開のカタルシスが訴求点。新規参入が増加中","メスガキ 音声 おすすめ / わからせ ボイス / 生意気 ASMR / メスガキ シチュ","増加中(トレンドで供給拡大・推定)","中(トレンドで参入増だがまとめは追いついていない)","属性×シチュの掛け合わせ整理、新作の速報レビュー","5","3","4","3","15","需要急伸中で旬。先行してまとめれば検索を取りやすい。トレンド持続は要検証"
"ヤンデレ・束縛系","強い感情・関係性の没入を求める層。怖さ/重さの度合いが嗜好の分岐","ヤンデレ 音声 おすすめ / 束縛 ボイス / 重い 愛 ASMR / ヤンデレ シチュボ","中〜厚い(安定人気・推定)","中(発信者は多いが分類レビューは手薄)","重さレベル/結末別の分類、女性向け・男性向け双方の導線","4","3","4","4","15","ファン熱量が高く回遊・リピート見込み。重さ指標の独自化が鍵。要検証"
"女性向け(乙女シチュボ・ボーイズボイス)","女性リスナー向けの関係性・癒し・甘え。男性声優の声質/シチュが購買動機","女性向け 音声 おすすめ / 乙女 シチュボ / ボイス 彼氏 / 女性向け ASMR 睡眠","中(供給拡大中だが男性向けより薄い・推定)","中〜弱(男性向け偏重で女性向け専門レビューが少ない)","女性目線の声優/シチュ別レビューに特化、安全に探せる入口設計","4","4","3","5","16","レビュー供給が手薄な空白地帯。専門化すれば独占しやすい最有力候補。要検証"
"低音ダウナー系お姉さん(キャラ属性軸)","声質・キャラ属性で探す層。落ち着いた低音/包容系という横断的ニーズ","低音 お姉さん 音声 / ダウナー ASMR / 落ち着く 女性声 ボイス / 包容 シチュ","中(属性横断・推定)","弱(属性軸で串刺しするまとめが少ない)","声質・キャラ属性での横断キュレーション(ジャンル跨ぎ)","3","4","3","4","14","ジャンルでなく声質軸で集める発想。競合が薄く差別化しやすい。要検証"
"方言・関西弁キャラ音声(属性ニッチ)","方言の親密感・希少性を求めるニッチ層。該当作品が少なく探しにくい","関西弁 音声 / 方言 ASMR / 博多弁 ボイス / 方言 シチュボ おすすめ","薄い(該当作品が少ない・推定)","弱(専門でまとめる個人サイトがほぼ無い)","方言別の網羅カタログ化、希少作品の発掘記事","3","5","2","5","15","需要は小さいが競合ほぼ皆無で独占可能。供給薄が弱点。スモールスタート向き。要検証"
"ロールプレイ(医療・お世話・耳鼻科等)","シチュエーションの没入を求める層。お世話/治療系の安心感が訴求","お世話 音声 / 看病 ASMR / 耳鼻科 ロールプレイ / 添い寝 看護 ボイス","中(シチュ系で一定・推定)","中〜弱(シチュ横断のまとめは手薄)","シチュエーション別カタログ、癒し用途での全年齢層導線","3","4","3","4","14","癒し需要と接続でき間口が広い。シチュ軸の整理に独自性。要検証"
"睡眠導入×R18ハイブリッド(SEO橋渡し)","全年齢ASMR/睡眠検索からの大量流入を、R18作品紹介へ橋渡しする集客設計","ASMR 睡眠 / 寝れる 音声 / 安眠 ASMR おすすめ / 耳が幸せ 音声","中(全年齢+R18両取り・推定)","中(全年齢ASMRは激戦/橋渡し設計は手薄)","全年齢の集客記事→R18への動線設計というサイト構造での差別化","4","3","3","5","15","集客は全年齢SEO、収益はR18の二層構造。規約・年齢ゾーニング要注意。要検証"
"短尺・ワンコイン作品比較(フォーマット軸)","お試し・低予算で買いたい層。10分以内/数百円のコスパ作品を探す横断ニーズ","同人音声 安い おすすめ / ワンコイン ASMR / 短編 音声 コスパ / 10分 ボイス","厚い(低価格作品は多数・推定)","弱(価格/尺フォーマット軸の比較サイトが少ない)","価格・尺・コスパでのランキング比較、初心者の入門導線","3","5","4","4","16","ジャンル横断のフォーマット軸。供給厚×競合薄で個人向き。初回購入を取りやすい。要検証"
"機材別音質比較(KU100/3Dio/ダミーヘッド)","音質マニア層。録音機材で作品を選ぶ層に向けた技術的キュレーション","KU100 音声 おすすめ / 3Dio ASMR / ダミーヘッド 録音 作品 / 高音質 バイノーラル","中(機材明記作品を抽出・推定)","弱(機材軸で串刺しする専門サイトが希少)","録音機材タグでの横断レビュー、推奨再生環境とのセット解説","3","5","3","5","16","マニア向けで単価/リピート良好の見込み。専門性で権威化しやすい。要検証"
"関係性特化(幼なじみ/姉/後輩 等)","キャラとの関係性で探す層。属性タグでの回遊が起きやすい王道ニーズ","幼なじみ 音声 / お姉さん ASMR / 後輩 シチュボ / 関係性 ボイス おすすめ","厚い(王道属性で作品多数・推定)","中(王道ゆえ競合はいるが網羅まとめは手薄)","関係性マトリクスでの網羅カタログ、属性内ランキング","4","3","4","3","14","間口が広く内部回遊を作りやすい。属性網羅で滞在時間を稼ぐ設計向き。要検証"
